,광역시도,시군,pop,moon,hong,ahn
0,서울특별시,종로구,102566,"42,512(41.59)","22,325(21.84)","22,313(21.83)"
1,서울특별시,중구,82852,"34,062(41.23)","17,901(21.67)","19,372(23.45)"
2,서울특별시,용산구,148157,"58,081(39.33)","35,230(23.85)","32,109(21.74)"
3,서울특별시,성동구,203175,"86,686(42.80)","40,566(20.03)","45,674(22.55)"
4,서울특별시,광진구,240030,"105,512(44.10)","46,368(19.38)","52,824(22.08)"
5,서울특별시,동대문구,236092,"98,958(42.06)","51,631(21.94)","53,359(22.68)"
6,서울특별시,중랑구,265706,"111,450(42.09)","56,545(21.35)","62,778(23.71)"
7,서울특별시,성북구,295866,"129,263(43.82)","57,584(19.52)","66,518(22.55)"
8,서울특별시,강북구,210614,"89,645(42.70)","42,268(20.13)","51,669(24.61)"
9,서울특별시,도봉구,229233,"94,898(41.55)","47,461(20.78)","55,600(24.34)"
10,서울특별시,노원구,374213,"158,167(42.41)","67,590(18.12)","96,325(25.83)"
11,서울특별시,은평구,317275,"140,180(44.34)","60,109(19.01)","72,582(22.96)"
12,서울특별시,서대문구,212076,"93,768(44.36)","40,513(19.16)","46,237(21.87)"
13,서울특별시,마포구,256992,"117,336(45.79)","46,547(18.16)","52,545(20.50)"
14,서울특별시,양천구,310886,"133,853(43.18)","60,814(19.62)","71,816(23.17)"
15,서울특별시,강서구,397108,"175,882(44.43)","76,601(19.35)","88,128(22.26)"
16,서울특별시,구로구,278805,"121,077(43.59)","59,194(21.31)","61,734(22.22)"
17,서울특별시,금천구,155010,"67,423(43.65)","31,106(20.13)","36,695(23.75)"
18,서울특별시,영등포구,248833,"105,834(42.67)","53,615(21.61)","53,994(21.77)"
19,서울특별시,동작구,276685,"121,722(44.12)","54,431(19.73)","60,305(21.86)"
20,서울특별시,관악구,351240,"159,854(45.67)","59,914(17.11)","79,495(22.71)"
21,서울특별시,서초구,292916,"106,416(36.43)","74,891(25.63)","63,977(21.90)"
22,서울특별시,강남구,365642,"128,927(35.36)","97,639(26.78)","80,201(21.99)"
23,서울특별시,송파구,441198,"177,328(40.30)","98,549(22.40)","99,018(22.50)"
24,서울특별시,강동구,297476,"122,511(41.31)","65,893(22.22)","67,499(22.76)"
25,부산광역시,중구,28604,"9,918(34.78)","10,684(37.47)","4,675(16.39)"
26,부산광역시,서구,71446,"24,522(34.46)","26,360(37.04)","11,868(16.68)"
27,부산광역시,동구,58304,"19,606(33.75)","22,188(38.20)","9,815(16.89)"
28,부산광역시,영도구,78013,"30,094(38.75)","25,345(32.63)","13,082(16.84)"
29,부산광역시,부산진구,246124,"95,042(38.76)","79,545(32.44)","40,636(16.57)"
30,부산광역시,동래구,181098,"67,947(37.65)","59,616(33.03)","30,208(16.73)"
31,부산광역시,남구,181922,"68,566(37.83)","59,137(32.63)","30,943(17.07)"
32,부산광역시,북구,203689,"83,611(41.22)","61,175(30.16)","32,712(16.13)"
33,부산광역시,해운대구,266870,"102,106(38.39)","80,904(30.42)","48,325(18.17)"
34,부산광역시,기장군,94393,"39,412(41.90)","26,556(28.23)","15,909(16.91)"
35,부산광역시,사하구,211876,"82,452(39.09)","65,252(30.93)","36,713(17.40)"
36,부산광역시,금정구,164127,"60,169(36.82)","54,418(33.30)","26,729(16.36)"
37,부산광역시,강서구,68633,"30,783(44.99)","18,711(27.34)","10,629(15.53)"
38,부산광역시,연제구,137602,"52,454(38.25)","44,221(32.25)","23,321(17.00)"
39,부산광역시,수영구,119064,"43,702(36.82)","39,832(33.56)","20,319(17.11)"
40,부산광역시,사상구,149868,"61,743(41.38)","46,540(31.19)","23,023(15.43)"
41,대구광역시,중구,52180,"11,477(22.09)","24,698(47.54)","7,170(13.80)"
