title,description,org_link,link,date
"현대, 상반기 엘리베이터 시공 '넘버 원'…누적대수도 1위","이어서 외국계 기업인 티센크루프엘리베이터가 5480대로 2위를 차지했고, <b>오티스엘리베이터</b>가 2483대, 미쓰비시엘리베이터가 796대를 설치하며 뒤를 이었다. 한국쉰들러는 불과 19대, 지난해 국내에 새롭게 진출한... ",http://www.electimes.com/article.php?aid=1536216639164383013,http://www.electimes.com/article.php?aid=1536216639164383013,2018-09-06 16:01:00
[정해균의 Zoom-人] 노련한 70대 CEO들 &quot;나이는 숫자에 불과&quot;,LG산전 부사장과 LG-<b>오티스엘리베이터</b>(현 <b>오티스엘리베이터</b>) 대표이사 사장 등을 역임했다. LG-<b>오티스엘리베이터</b>에서는 1999~2008년 재직하며 '선택과 집중 전략'으로 업계 수위를 이끌었다. 2016년 3월 현대엘리베이터... ,http://www.fetv.co.kr/news/article.html?no=11436,http://www.fetv.co.kr/news/article.html?no=11436,2018-08-25 11:11:00
[온누리] 에펠탑,"미국의 <b>오티스엘리베이터</b>회사에서 에디슨이 설계한 유리 승강기는 이 건축물의 주요특색으로, 에펠탑을 세계 최고의 관광명소 가운데 하나로 부각 시켰다.   1,665개의 계단을 오르면 2층으로 된 전망대에 도착하며... ",http://www.sjbnews.com/news/articleView.html?idxno=616128,http://www.sjbnews.com/news/articleView.html?idxno=616128,2018-08-19 20:05:00
"오티스, 항균 기능 특화 '젠투 케어' 엘리베이터 출시… 차별화 가치제고 만전","<b>오티스엘리베이터</b>가 항균 기능 특화를 앞세워 새상품을 개발, 출시했다. 플랫벨트∙리젠 드라이브 등 글로벌 젠투 E/L 혁신적 기술은 그대로 구현 조익서 사장 &quot;건강·위생 높은 관심 속 의료시설 및 주거... ",http://www.ikld.kr/news/articleView.html?idxno=97698,http://www.ikld.kr/news/articleView.html?idxno=97698,2018-08-13 09:55:00
(전기경제)주 52시간 근로…산업현장 대변화 예고,<b>오티스엘리베이터</b>도 출퇴근 시간을 직원들이 선택하고 서비스 업무에 대한 신규 채용을 지속해 근로시간 단축에 대응해나가고 있다. 비츠로그룹에서 유일한 제도 적용 대상인 비츠로셀은 사전 시뮬레이션을 바탕으로... ,http://www.electimes.com/article.php?aid=1530492346160412011,http://www.electimes.com/article.php?aid=1530492346160412011,2018-07-02 09:58:00
[르포] &quot;시험기간인데 왔어요&quot; 외국계 기업 채용박람회장 뜨거운 '열기',이윤형 <b>오티스엘리베이터</b> 채용담당 과장은 &quot;외국계라고 무조건 영어 능력보다는 직무적응력과 자신이 그 회사에서 하고싶은 일이 무엇인지 정확하게 알고 있는게 중요하다&quot;고 언급했다. 코트라 관계자는 &quot;국내... ,http://www.ajunews.com/view/20180614134639426,http://www.ajunews.com/view/20180614134639426,2018-06-14 16:34:00
"&quot;외국기업 취업하자&quot;…139개사 참가, 코엑스서 열려",36 <b>오티스엘리베이터</b>코리아 제조 37 ㈜루트로닉 의료/제약 38 ㈜맨파워코리아 서비스 39 주식회사 모넷코리아 제조 40 ㈜인코어드 테크놀로지스 IT/정보통신 41 케이엘에이텐코코리아 제조 42 켈리서비스유한회사... ,http://www.opinionnews.co.kr/news/articleView.html?idxno=9769,http://www.opinionnews.co.kr/news/articleView.html?idxno=9769,2018-06-14 11:26:00
"[JOB뉴스] 호텔관광, 일본 기업, 국제기구…'맞춤형 채용박람회' 쏟아진다","글로운 운송업체 DHL, 네던란드의 반도체 장비업체 ASML, 미국계 <b>오티스 엘리베이터</b> 등 140여개 기업이 참여한다. 20여개 기업이 이틀간 기업설명회를 하며, 현장상담, 일대일 심층면접도 있다. 외교부... ",http://news.hankyung.com/article/201806048023i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0003954647,2018-06-04 15:28:00
[코스피 챔피언] '남북경협 대장주' 현대엘리베이터 주식 사도 될까?,"경쟁 상대인 <b>오티스 엘리베이터</b>, 티센크루프 엘리베이터 코리아, 미쓰비시 엘리베이터 등이 모두 외국계 회사인 데 비해 현대엘리베이터는 유일한 토종 기업이다. 웨스팅하우스 엘리베이터 사업부문을 인수한 쉰들러... ",http://weekly.cnbnews.com/news/article.html?no=124699,http://weekly.cnbnews.com/news/article.html?no=124699,2018-05-31 17:20:00
"<b>오티스 엘리베이터</b>, '시그니처 서비스' 론칭",<b>오티스 엘리베이터</b>가 ‘시그니처 서비스’를 론칭한다. [G밸리뉴스 홍종표 기자] <b>오티스 엘리베이터</b>가 새로운 서비스 브랜드 '시그니처 서비스'를 론칭한다. 오티스 시그니처 서비스는 새로운 기술과 향상된... ,http://www.gvalley.co.kr/553584,http://www.gvalley.co.kr/553584,2018-05-30 18:18:00
